TimestampUTC,Model,PromptTokens,CompletionTokens,TotalTokens
2025-04-04T17:04:31.418871+00:00,mistral-large-latest,57,443,500
2025-04-04T17:04:31.819909+00:00,mistral-large-latest,57,500,557
2025-04-04T17:04:32.235183+00:00,mistral-large-latest,57,519,576
2025-04-04T17:04:32.323176+00:00,mistral-large-latest,57,546,603
2025-04-04T17:04:33.567197+00:00,mistral-large-latest,57,632,689
2025-04-04T17:04:33.715885+00:00,mistral-large-latest,57,545,602
2025-04-04T17:04:35.000258+00:00,mistral-large-latest,57,567,624
2025-04-04T17:04:35.992116+00:00,mistral-large-latest,57,679,736
2025-04-04T17:04:37.465934+00:00,mistral-large-latest,57,861,918
2025-04-04T17:43:24.475030+00:00,mistral-large-latest,57,608,665
2025-04-04T17:43:24.732505+00:00,mistral-large-latest,57,574,631
2025-04-04T17:43:24.842912+00:00,mistral-large-latest,57,419,476
2025-04-04T17:43:29.025611+00:00,mistral-large-latest,57,509,566
2025-04-04T17:43:32.395839+00:00,mistral-large-latest,57,740,797
2025-04-04T17:43:34.453082+00:00,mistral-large-latest,57,842,899
2025-04-04T17:51:12.508593+00:00,mistral-large-latest,57,349,406
2025-04-04T17:51:14.418397+00:00,mistral-large-latest,57,468,525
2025-04-04T17:51:17.698498+00:00,mistral-large-latest,57,632,689
2025-04-04T17:51:18.698735+00:00,mistral-large-latest,57,642,699
2025-04-04T17:51:30.303095+00:00,mistral-large-latest,57,603,660
